timestamp,open,high,low,close,volume
2023-08-31 22:00:00,26013.0,26059.2,25960.7,26042.8,8374.303
2023-08-31 23:00:00,26042.8,26047.3,25895.8,25928.0,8498.977
2023-09-01 00:00:00,25928.0,26060.5,25918.9,26037.8,8418.026
2023-09-01 01:00:00,26037.8,26047.3,25960.0,25974.9,6210.387
2023-09-01 02:00:00,25974.9,26094.1,25973.2,26045.4,8210.956
2023-09-01 03:00:00,26045.4,26085.8,26031.5,26071.5,4232.262
2023-09-01 04:00:00,26071.4,26086.2,26024.1,26031.1,3819.424
2023-09-01 05:00:00,26031.2,26047.1,26010.7,26017.1,3809.068
2023-09-01 06:00:00,26017.1,26033.5,25962.1,25985.6,6244.363
2023-09-01 07:00:00,25985.7,26005.9,25967.0,25975.2,4923.799
2023-09-01 08:00:00,25975.3,26006.0,25941.7,25972.0,5668.378
2023-09-01 09:00:00,25972.0,26040.0,25960.7,26020.4,5985.602
2023-09-01 10:00:00,26020.4,26036.7,25970.0,25987.2,5252.841
2023-09-01 11:00:00,25987.2,26068.3,25969.3,26033.7,6862.037
2023-09-01 12:00:00,26033.6,26151.6,25976.0,26050.5,23096.94
2023-09-01 13:00:00,26050.5,26056.2,25855.6,25988.6,20611.208
2023-09-01 14:00:00,25988.5,25991.9,25666.0,25705.0,35408.347
2023-09-01 15:00:00,25705.0,25935.0,25555.0,25798.0,39523.001
2023-09-01 16:00:00,25798.0,25958.1,25742.8,25779.9,23357.064
2023-09-01 17:00:00,25779.9,25792.0,25312.0,25467.2,67693.439
2023-09-01 18:00:00,25467.1,25844.0,25441.3,25640.8,33824.106
2023-09-01 19:00:00,25640.7,25667.8,25566.7,25637.1,10043.539
2023-09-01 20:00:00,25637.2,25928.5,25557.3,25763.4,21755.673
2023-09-01 21:00:00,25763.5,25852.3,25719.7,25792.1,8055.304
2023-09-01 22:00:00,25792.1,25813.2,25748.4,25749.9,4679.066
2023-09-01 23:00:00,25750.0,25826.9,25740.0,25795.6,3500.094
2023-09-02 00:00:00,25795.6,25829.9,25769.2,25777.4,3633.771
2023-09-02 01:00:00,25777.5,25805.9,25759.9,25760.0,2921.484
2023-09-02 02:00:00,25760.0,25784.4,25740.6,25749.6,3015.605
2023-09-02 03:00:00,25749.6,25802.7,25747.1,25786.1,2516.163
2023-09-02 04:00:00,25786.1,25795.6,25754.7,25768.6,2666.053
2023-09-02 05:00:00,25768.5,25841.4,25767.0,25808.8,4982.125
2023-09-02 06:00:00,25808.8,25822.7,25780.0,25791.0,2549.551
2023-09-02 07:00:00,25791.0,25832.4,25764.6,25783.9,3576.215
2023-09-02 08:00:00,25783.9,25792.0,25760.4,25766.9,3461.478
2023-09-02 09:00:00,25766.8,25816.2,25762.7,25798.4,3596.326
2023-09-02 10:00:00,25798.5,25845.3,25797.5,25820.0,4082.053
2023-09-02 11:00:00,25820.0,25848.0,25764.2,25800.1,7338.768
2023-09-02 12:00:00,25800.1,25826.5,25790.1,25798.4,3370.443
2023-09-02 13:00:00,25798.3,25843.0,25771.1,25814.5,4769.135
2023-09-02 14:00:00,25814.5,25887.1,25794.0,25850.0,6653.294
2023-09-02 15:00:00,25850.1,25975.0,25850.0,25880.0,17005.321
2023-09-02 16:00:00,25880.1,25926.5,25830.0,25851.3,6685.483
2023-09-02 17:00:00,25851.4,25865.5,25801.4,25803.7,4858.262
2023-09-02 18:00:00,25803.7,25817.5,25750.9,25801.7,7347.092
2023-09-02 19:00:00,25801.8,25837.3,25787.2,25821.6,3235.418
2023-09-02 20:00:00,25821.6,25839.6,25805.4,25839.5,2229.621
2023-09-02 21:00:00,25839.6,25881.0,25830.3,25849.3,3186.828
2023-09-02 22:00:00,25849.3,25851.0,25832.3,25849.8,1555.987
